value,reason
21886,author_or_recipient_unknown
21948,auto_duplicate
21955,auto_duplicate
21960,auto_duplicate
21968,auto_duplicate
21986,auto_duplicate
21987,auto_duplicate
21988,auto_duplicate
21990,auto_duplicate
22012,auto_duplicate
22015,auto_duplicate
22016,auto_duplicate
22017,auto_duplicate
22020,auto_duplicate
22022,auto_duplicate
22026,auto_duplicate
22029,auto_duplicate
22032,auto_duplicate
22033,auto_duplicate
22034,auto_duplicate
22035,auto_duplicate
22037,auto_duplicate
22040,auto_duplicate
22041,auto_duplicate
22046,auto_duplicate
22047,auto_duplicate
22052,from_emlo_matches
22055,from_emlo_matches
22056,from_emlo_matches
22083,auto_duplicate
22084,auto_duplicate
22088,auto_duplicate
22089,auto_duplicate
22091,auto_duplicate
22092,auto_duplicate
22094,auto_duplicate
22097,auto_duplicate
22098,auto_duplicate
22100,auto_duplicate
22104,auto_duplicate
22106,auto_duplicate
22118,author_or_recipient_unknown
22120,from_emlo_matches
22141,auto_duplicate
22142,auto_duplicate
22143,auto_duplicate
22192,auto_duplicate
22245,author_or_recipient_unknown
22282,from_emlo_matches
22283,from_emlo_matches
22284,from_emlo_matches
22357,author_or_recipient_unknown
22359,author_or_recipient_unknown
22697,author_or_recipient_unknown
22731,auto_duplicate
22751,auto_duplicate
22771,auto_duplicate
22829,author_or_recipient_unknown
23099,from_emlo_matches
23101,from_emlo_matches
23114,author_or_recipient_unknown
23144,from_emlo_matches
23145,from_emlo_matches
23249,author_or_recipient_unknown
23283,auto_duplicate
23486,author_or_recipient_unknown
23487,author_or_recipient_unknown
23492,author_or_recipient_unknown
23493,author_or_recipient_unknown
23494,author_or_recipient_unknown
23495,author_or_recipient_unknown
23496,author_or_recipient_unknown
23497,author_or_recipient_unknown
23498,author_or_recipient_unknown
23499,author_or_recipient_unknown
23500,author_or_recipient_unknown
23503,author_or_recipient_unknown
23505,author_or_recipient_unknown
23506,author_or_recipient_unknown
24790,author_or_recipient_unknown
24849,author_or_recipient_unknown
24850,author_or_recipient_unknown
24851,author_or_recipient_unknown
24853,author_or_recipient_unknown
24855,author_or_recipient_unknown
24856,author_or_recipient_unknown
24885,author_or_recipient_unknown
24894,author_or_recipient_unknown
24901,from_emlo_matches
24906,auto_duplicate
24911,auto_duplicate
24912,auto_duplicate
24913,auto_duplicate
24914,auto_duplicate
24915,auto_duplicate
24916,auto_duplicate
24917,auto_duplicate
24919,auto_duplicate
24920,auto_duplicate
24922,auto_duplicate
24923,auto_duplicate
24924,auto_duplicate
24926,auto_duplicate
24932,auto_duplicate
24933,auto_duplicate
24942,auto_duplicate
24945,auto_duplicate
24948,auto_duplicate
24949,auto_duplicate
24960,auto_duplicate
24961,auto_duplicate
24963,auto_duplicate
24965,auto_duplicate
24966,auto_duplicate
24968,auto_duplicate
24970,auto_duplicate
24971,auto_duplicate
24973,auto_duplicate
24975,auto_duplicate
25061,auto_duplicate
25217,auto_duplicate
25639,auto_duplicate
25642,auto_duplicate
25643,auto_duplicate
25644,auto_duplicate
25646,auto_duplicate
25648,auto_duplicate
25650,auto_duplicate
25654,auto_duplicate
25655,auto_duplicate
25656,auto_duplicate
25657,auto_duplicate
25660,auto_duplicate
25661,auto_duplicate
25662,auto_duplicate
25663,auto_duplicate
25664,auto_duplicate
25714,auto_duplicate
25746,auto_duplicate
25748,auto_duplicate
25771,auto_duplicate
25772,auto_duplicate
25773,auto_duplicate
2579,author_or_recipient_unknown
2581,author_or_recipient_unknown
25973,from_emlo_matches
26005,auto_duplicate
26060,auto_duplicate
26077,auto_duplicate
26078,auto_duplicate
26096,author_or_recipient_unknown
26253,author_or_recipient_unknown
26257,author_or_recipient_unknown
26258,author_or_recipient_unknown
26260,author_or_recipient_unknown
263,author_or_recipient_unknown
26395,author_or_recipient_unknown
26397,author_or_recipient_unknown
26398,author_or_recipient_unknown
26400,author_or_recipient_unknown
26401,author_or_recipient_unknown
26468,auto_duplicate
26469,auto_duplicate
26497,auto_duplicate
26499,author_or_recipient_unknown
26548,author_or_recipient_unknown
26550,author_or_recipient_unknown
26592,author_or_recipient_unknown
26733,auto_duplicate
26786,auto_duplicate
26788,auto_duplicate
26789,auto_duplicate
26790,auto_duplicate
26800,auto_duplicate
26828,auto_duplicate
26829,auto_duplicate
26830,auto_duplicate
27049,author_or_recipient_unknown
27052,from_emlo_matches
27122,auto_duplicate
27133,auto_duplicate
27168,from_emlo_matches
27170,auto_duplicate
27173,auto_duplicate
27174,auto_duplicate
27177,auto_duplicate
27178,auto_duplicate
27179,auto_duplicate
27180,auto_duplicate
27181,auto_duplicate
27182,auto_duplicate
27183,auto_duplicate
27186,auto_duplicate
27187,auto_duplicate
27192,auto_duplicate
27193,auto_duplicate
27194,auto_duplicate
27196,auto_duplicate
27197,auto_duplicate
27199,auto_duplicate
27264,auto_duplicate
27292,author_or_recipient_unknown
27295,author_or_recipient_unknown
2732,auto_duplicate
2735,auto_duplicate
27350,from_emlo_matches
2736,auto_duplicate
27360,author_or_recipient_unknown
2738,auto_duplicate
2739,auto_duplicate
274,author_or_recipient_unknown
2740,auto_duplicate
2742,auto_duplicate
2770,auto_duplicate
2771,auto_duplicate
2772,auto_duplicate
2774,auto_duplicate
27779,author_or_recipient_unknown
27780,author_or_recipient_unknown
27781,author_or_recipient_unknown
27782,author_or_recipient_unknown
27783,author_or_recipient_unknown
27784,author_or_recipient_unknown
27802,auto_duplicate
27857,author_or_recipient_unknown
27907,author_or_recipient_unknown
27925,from_emlo_matches
27984,author_or_recipient_unknown
2808,auto_duplicate
282,auto_duplicate
2837,author_or_recipient_unknown
28497,author_or_recipient_unknown
28560,auto_duplicate
28574,author_or_recipient_unknown
28616,author_or_recipient_unknown
28617,author_or_recipient_unknown
28628,auto_duplicate
288,auto_duplicate
28850,auto_duplicate
2891,from_emlo_matches
2892,from_emlo_matches
29131,author_or_recipient_unknown
29137,from_emlo_matches
29138,from_emlo_matches
29139,from_emlo_matches
29140,from_emlo_matches
29142,from_emlo_matches
29143,from_emlo_matches
29144,from_emlo_matches
29145,from_emlo_matches
29239,auto_duplicate
29243,auto_duplicate
29244,author_or_recipient_unknown
29268,from_emlo_matches
29269,from_emlo_matches
29270,from_emlo_matches
29271,from_emlo_matches
29272,from_emlo_matches
29273,from_emlo_matches
29274,from_emlo_matches
29320,author_or_recipient_unknown
29468,auto_duplicate
29469,auto_duplicate
29488,auto_duplicate
2959,author_or_recipient_unknown
29631,author_or_recipient_unknown
29721,author_or_recipient_unknown
29725,from_emlo_matches
29774,from_emlo_matches
29941,from_emlo_matches
300010,author_or_recipient_unknown
300018,auto_duplicate
300055,author_or_recipient_unknown
300058,author_or_recipient_unknown
300059,author_or_recipient_unknown
300060,author_or_recipient_unknown
300063,author_or_recipient_unknown
300086,author_or_recipient_unknown
300087,author_or_recipient_unknown
300092,author_or_recipient_unknown
300094,author_or_recipient_unknown
300134,author_or_recipient_unknown
300137,author_or_recipient_unknown
300138,author_or_recipient_unknown|marked_to_delete
300145,author_or_recipient_unknown
300147,auto_duplicate
300155,marked_to_delete
300157,author_or_recipient_unknown
300167,author_or_recipient_unknown
